"Category","Advice","Source"
"Age range","18-25 years","pre-filled"
"Gender","Male","pre-filled"
"Lose/maintain/gain weight","Maintain weight","pre-filled"
"Diet name","mediterranean diet","pre-filled"
"Health Pre-Condition","Normal weight","['3', 'methods3', ' In the current study, we report the results of the analyses of the following subset of variables for each of the participant countries and for the Mediterranean countries (MED) group and non-Mediterranean countries (MED) groups: sociodemographic data (age, sex), health-related information (self-reported diagnosed pathology, weight (kg), and height (m), used to calculate body mass index (BMI, kg/m2)), and food choices. Participants were also classified into (1) age groups (early (18–24 y), middle (25–44 y), and late (45–64 y) adults and senior (≥65 y)), (2) BMI categories (underweight (<18.5kg/m2), normal weight (18.5–24.9 kg/m2), overweight (25.0–29.9 kg/m2), and obesity (≥30 kg/m2)) as defined by the World Health Organization (WHO) [35], and (3) disease status (no declared pathology, 1 pathology, multi-pathology). The nature of the pathologies was classified using the International Statistical Classification of Diseases and Related Health Problems [36].', 'b22ef0f5-f409-4197-b182-c64fe6478b8e']"
"Foods to increase consumption of","olive oil","['9', 'introduction9', ' Details of the patients’ dietary adherence, energy, nutrients, and food intake (baseline and after 1 year of follow-up) are shown in S1 Text and S1, S2, S3 and S4 Tables.  In the Mediterranean diet group, the main recommendations were abundant use of virgin olive oil for cooking and dressing (≥4 tablespoons/day; 10–15 g/tablespoon); daily consumption of at least 2 servings of vegetables (200 g/serving; at least one serving raw or as salad) and 3 or more units of fresh fruit (125–150 g/unit); weekly consumption of at least 3 servings of legumes (150 g cooked weight/serving), 3 or more servings of fish or seafood (especially oily fish; 100–150 g/serving), and fresh nuts and seeds (3 or more handfuls per week); cooking dishes seasoned with “sofrito” (a slow-cooked homemade sauce with tomato, garlic, onion, aromatic herbs, and olive oil) at least twice a week; a reduction in meat consumption,', 'c4c9d3d4-7573-467d-aac2-035bd1a21b08']"
"Foods to increase consumption of","vegetables","['9', 'introduction9', ' Details of the patients’ dietary adherence, energy, nutrients, and food intake (baseline and after 1 year of follow-up) are shown in S1 Text and S1, S2, S3 and S4 Tables.  In the Mediterranean diet group, the main recommendations were abundant use of virgin olive oil for cooking and dressing (≥4 tablespoons/day; 10–15 g/tablespoon); daily consumption of at least 2 servings of vegetables (200 g/serving; at least one serving raw or as salad) and 3 or more units of fresh fruit (125–150 g/unit); weekly consumption of at least 3 servings of legumes (150 g cooked weight/serving), 3 or more servings of fish or seafood (especially oily fish; 100–150 g/serving), and fresh nuts and seeds (3 or more handfuls per week); cooking dishes seasoned with “sofrito” (a slow-cooked homemade sauce with tomato, garlic, onion, aromatic herbs, and olive oil) at least twice a week; a reduction in meat consumption,', 'c4c9d3d4-7573-467d-aac2-035bd1a21b08']"
"Foods to increase consumption of","fruits","['9', 'introduction9', ' Details of the patients’ dietary adherence, energy, nutrients, and food intake (baseline and after 1 year of follow-up) are shown in S1 Text and S1, S2, S3 and S4 Tables.  In the Mediterranean diet group, the main recommendations were abundant use of virgin olive oil for cooking and dressing (≥4 tablespoons/day; 10–15 g/tablespoon); daily consumption of at least 2 servings of vegetables (200 g/serving; at least one serving raw or as salad) and 3 or more units of fresh fruit (125–150 g/unit); weekly consumption of at least 3 servings of legumes (150 g cooked weight/serving), 3 or more servings of fish or seafood (especially oily fish; 100–150 g/serving), and fresh nuts and seeds (3 or more handfuls per week); cooking dishes seasoned with “sofrito” (a slow-cooked homemade sauce with tomato, garlic, onion, aromatic herbs, and olive oil) at least twice a week; a reduction in meat consumption,', 'c4c9d3d4-7573-467d-aac2-035bd1a21b08']"
"Foods to increase consumption of","legumes","['9', 'introduction9', ' Details of the patients’ dietary adherence, energy, nutrients, and food intake (baseline and after 1 year of follow-up) are shown in S1 Text and S1, S2, S3 and S4 Tables.  In the Mediterranean diet group, the main recommendations were abundant use of virgin olive oil for cooking and dressing (≥4 tablespoons/day; 10–15 g/tablespoon); daily consumption of at least 2 servings of vegetables (200 g/serving; at least one serving raw or as salad) and 3 or more units of fresh fruit (125–150 g/unit); weekly consumption of at least 3 servings of legumes (150 g cooked weight/serving), 3 or more servings of fish or seafood (especially oily fish; 100–150 g/serving), and fresh nuts and seeds (3 or more handfuls per week); cooking dishes seasoned with “sofrito” (a slow-cooked homemade sauce with tomato, garlic, onion, aromatic herbs, and olive oil) at least twice a week; a reduction in meat consumption,', 'c4c9d3d4-7573-467d-aac2-035bd1a21b08']"
"Foods to increase consumption of","fish","['9', 'introduction9', ' Details of the patients’ dietary adherence, energy, nutrients, and food intake (baseline and after 1 year of follow-up) are shown in S1 Text and S1, S2, S3 and S4 Tables.  In the Mediterranean diet group, the main recommendations were abundant use of virgin olive oil for cooking and dressing (≥4 tablespoons/day; 10–15 g/tablespoon); daily consumption of at least 2 servings of vegetables (200 g/serving; at least one serving raw or as salad) and 3 or more units of fresh fruit (125–150 g/unit); weekly consumption of at least 3 servings of legumes (150 g cooked weight/serving), 3 or more servings of fish or seafood (especially oily fish; 100–150 g/serving), and fresh nuts and seeds (3 or more handfuls per week); cooking dishes seasoned with “sofrito” (a slow-cooked homemade sauce with tomato, garlic, onion, aromatic herbs, and olive oil) at least twice a week; a reduction in meat consumption,', 'c4c9d3d4-7573-467d-aac2-035bd1a21b08']"
"Foods to increase consumption of","nuts","['9', 'introduction9', ' Details of the patients’ dietary adherence, energy, nutrients, and food intake (baseline and after 1 year of follow-up) are shown in S1 Text and S1, S2, S3 and S4 Tables.  In the Mediterranean diet group, the main recommendations were abundant use of virgin olive oil for cooking and dressing (≥4 tablespoons/day; 10–15 g/tablespoon); daily consumption of at least 2 servings of vegetables (200 g/serving; at least one serving raw or as salad) and 3 or more units of fresh fruit (125–150 g/unit); weekly consumption of at least 3 servings of legumes (150 g cooked weight/serving), 3 or more servings of fish or seafood (especially oily fish; 100–150 g/serving), and fresh nuts and seeds (3 or more handfuls per week); cooking dishes seasoned with “sofrito” (a slow-cooked homemade sauce with tomato, garlic, onion, aromatic herbs, and olive oil) at least twice a week; a reduction in meat consumption,', 'c4c9d3d4-7573-467d-aac2-035bd1a21b08']"
"Foods to eat in moderation","red meat","['9', 'introduction9', ' Details of the patients’ dietary adherence, energy, nutrients, and food intake (baseline and after 1 year of follow-up) are shown in S1 Text and S1, S2, S3 and S4 Tables.  In the Mediterranean diet group, the main recommendations were abundant use of virgin olive oil for cooking and dressing (≥4 tablespoons/day; 10–15 g/tablespoon); daily consumption of at least 2 servings of vegetables (200 g/serving; at least one serving raw or as salad) and 3 or more units of fresh fruit (125–150 g/unit); weekly consumption of at least 3 servings of legumes (150 g cooked weight/serving), 3 or more servings of fish or seafood (especially oily fish; 100–150 g/serving), and fresh nuts and seeds (3 or more handfuls per week); cooking dishes seasoned with “sofrito” (a slow-cooked homemade sauce with tomato, garlic, onion, aromatic herbs, and olive oil) at least twice a week; a reduction in meat consumption,', 'c4c9d3d4-7573-467d-aac2-035bd1a21b08']"
"Foods to eat in moderation","dairy products","['2', 'introduction2', '  Characteristics of the Mediterranean diet The Mediterranean diet focuses on cereals (bread, oats, wholegrain cereals, groats), fruits, vegetables, nuts and legumes, whose consumption should be on a daily basis. These foods are rich in fiber and antioxidants (especially if they are seasonal). Consumption of olive oil replaces other forms of saturated fat, such as animal butter and margarines. In moderate consumption, dairy products, especially yoghurt and cheese, are found even on a daily basis, while consumption of fish and poultry (lean animal products) is recommended up to twice a week. Eggs can be eaten up to 4–7/week. Climbing up the food pyramid, there are foods which should be consumed on a monthly basis in small quantities, such as red meat. Alcohol accompanies each meal and if there is no other problem associated with its consumption then the safe recommended units are 2 glasses/day for men and 1 glass/day for women.', '1ca3f219-eb47-4abe-9ac6-cddf27559dff']"
"Foods to eat in moderation","sweets","['9', 'methods9', ' The two principal goals for intervention arms were a 5–10% weight loss and an increase in the level of adherence to the Mediterranean diet, i.e., a dietary pattern characterized by high consumption of olive oil, vegetables, legumes, whole grains, fruits and nuts, moderate consumption of poultry, fish and dairy products, low consumption of red meat products and sweets, and low-to-moderate consumption of wine as the main source of alcohol accompanying main meals (Supplemental Results Table S1) [22].', 'c93d98d2-7c8c-4f19-8d58-0533bd283ec8']"
"Foods to eat in moderation","alcohol","['2', 'introduction2', '  Characteristics of the Mediterranean diet The Mediterranean diet focuses on cereals (bread, oats, wholegrain cereals, groats), fruits, vegetables, nuts and legumes, whose consumption should be on a daily basis. These foods are rich in fiber and antioxidants (especially if they are seasonal). Consumption of olive oil replaces other forms of saturated fat, such as animal butter and margarines. In moderate consumption, dairy products, especially yoghurt and cheese, are found even on a daily basis, while consumption of fish and poultry (lean animal products) is recommended up to twice a week. Eggs can be eaten up to 4–7/week. Climbing up the food pyramid, there are foods which should be consumed on a monthly basis in small quantities, such as red meat. Alcohol accompanies each meal and if there is no other problem associated with its consumption then the safe recommended units are 2 glasses/day for men and 1 glass/day for women.', '1ca3f219-eb47-4abe-9ac6-cddf27559dff']"
