"Category","Advice","Source"
"Age range","36-45 years","pre-filled"
"Gender","Any","pre-filled"
"Lose/maintain/gain weight","Maintain weight","pre-filled"
"Diet name","dash diet","pre-filled"
"Health Pre-Condition","BMI 25-30 kg/m2","['20', 'results0', 'Participants The disposition of participants throughout the study is shown in Supplementary Material. A total of 78 participants were randomized to the Dietary Approaches to Stop Hypertension (DASH) diet (n\u2009=\u200940) or the commercial weight loss program (n\u2009=\u200938). Two participants randomized to the Dietary Approaches to Stop Hypertension (DASH) diet discontinued the study at the baseline visit prior to beginning the assigned dietary intervention on the following day, so no last observation carried forward (LOCF) imputation was applied for these individuals. Participants included predominantly Caucasian (70.6%) women (n\u2009=\u200961) and men (n\u2009=\u200917) with overweight and obesity, with a mean baseline age of 50.4\u2009years, body weight of 95.7\u2009kg, and body mass index (BMI) of 34.4\u2009kg/m2. Additional demographic characteristics are presented in Table 1.', '4bc92ef8-b77a-444e-aaf9-505d59308b1d']"
"Foods to increase consumption of","fruits","['8', 'methods4', '43, 0.57, and 0.45, respectively. The energy adjusted correlation coefficients for β-carotene and vitamin C were 0.65 and 0.76, respectively.  Adherence to DASH-style diet In this study, to indicate the degree of adherence to DASH-style diet, we constructed DASH scores based on foods and nutrients emphasized or minimized in the DASH diet, focusing on eight components: high intake of fruits, vegetables, nuts and legumes, low-fat dairy products, and whole grains and low intake of sodium, sugar-sweetened beverages (sugar sweetened beverages (SSB)) and sweets, and red and processed meats. For each participant, energy-adjusted intakes of the above-mentioned foods and nutrients were calculated using residual method36. Then, participants were categorized into deciles of the energy-adjusted intakes of foods and nutrients.', '01e205cd-5e9e-4cdd-b7a0-e9f1973068e4']"
"Foods to increase consumption of","vegetables","['8', 'methods4', '43, 0.57, and 0.45, respectively. The energy adjusted correlation coefficients for β-carotene and vitamin C were 0.65 and 0.76, respectively.  Adherence to DASH-style diet In this study, to indicate the degree of adherence to DASH-style diet, we constructed DASH scores based on foods and nutrients emphasized or minimized in the DASH diet, focusing on eight components: high intake of fruits, vegetables, nuts and legumes, low-fat dairy products, and whole grains and low intake of sodium, sugar-sweetened beverages (sugar sweetened beverages (SSB)) and sweets, and red and processed meats. For each participant, energy-adjusted intakes of the above-mentioned foods and nutrients were calculated using residual method36. Then, participants were categorized into deciles of the energy-adjusted intakes of foods and nutrients.', '01e205cd-5e9e-4cdd-b7a0-e9f1973068e4']"
"Foods to increase consumption of","nuts","['8', 'methods4', '43, 0.57, and 0.45, respectively. The energy adjusted correlation coefficients for β-carotene and vitamin C were 0.65 and 0.76, respectively.  Adherence to DASH-style diet In this study, to indicate the degree of adherence to DASH-style diet, we constructed DASH scores based on foods and nutrients emphasized or minimized in the DASH diet, focusing on eight components: high intake of fruits, vegetables, nuts and legumes, low-fat dairy products, and whole grains and low intake of sodium, sugar-sweetened beverages (sugar sweetened beverages (SSB)) and sweets, and red and processed meats. For each participant, energy-adjusted intakes of the above-mentioned foods and nutrients were calculated using residual method36. Then, participants were categorized into deciles of the energy-adjusted intakes of foods and nutrients.', '01e205cd-5e9e-4cdd-b7a0-e9f1973068e4']"
"Foods to increase consumption of","legumes","['8', 'methods4', '43, 0.57, and 0.45, respectively. The energy adjusted correlation coefficients for β-carotene and vitamin C were 0.65 and 0.76, respectively.  Adherence to DASH-style diet In this study, to indicate the degree of adherence to DASH-style diet, we constructed DASH scores based on foods and nutrients emphasized or minimized in the DASH diet, focusing on eight components: high intake of fruits, vegetables, nuts and legumes, low-fat dairy products, and whole grains and low intake of sodium, sugar-sweetened beverages (sugar sweetened beverages (SSB)) and sweets, and red and processed meats. For each participant, energy-adjusted intakes of the above-mentioned foods and nutrients were calculated using residual method36. Then, participants were categorized into deciles of the energy-adjusted intakes of foods and nutrients.', '01e205cd-5e9e-4cdd-b7a0-e9f1973068e4']"
"Foods to increase consumption of","low-fat dairy products","['8', 'methods4', '43, 0.57, and 0.45, respectively. The energy adjusted correlation coefficients for β-carotene and vitamin C were 0.65 and 0.76, respectively.  Adherence to DASH-style diet In this study, to indicate the degree of adherence to DASH-style diet, we constructed DASH scores based on foods and nutrients emphasized or minimized in the DASH diet, focusing on eight components: high intake of fruits, vegetables, nuts and legumes, low-fat dairy products, and whole grains and low intake of sodium, sugar-sweetened beverages (sugar sweetened beverages (SSB)) and sweets, and red and processed meats. For each participant, energy-adjusted intakes of the above-mentioned foods and nutrients were calculated using residual method36. Then, participants were categorized into deciles of the energy-adjusted intakes of foods and nutrients.', '01e205cd-5e9e-4cdd-b7a0-e9f1973068e4']"
