"Category","Advice","Source"
"Age range","46-55 years","pre-filled"
"Gender","Female","pre-filled"
"Lose/maintain/gain weight","Maintain weight","pre-filled"
"Diet name","dash diet","pre-filled"
"Health Pre-Condition","","pre-filled"
"Foods to increase consumption of","fruits","['7', 'methods3', ' For each food item, 4 possible frequencies (never, every month, every week and every day) and the amount of consumption each time in grams or millilitres were available. The daily intakes of energy (kcal/d) and key nutrients from each food were calculated according to the Chinese Food Composition Tables25.  Assessment of adherence to a dietary approaches to stop hypertension-style diet A Dietary Approaches to Stop Hypertension (DASH) score was calculated based on the food frequency questionnaire (FFQ) for each participant. According to Fung’s method26, the Dietary Approaches to Stop Hypertension (DASH) score was constructed based on the foods and nutrients emphasised or minimised in the Dietary Approaches to Stop Hypertension (DASH) diet, focusing on eight components: high intake of whole grains; fruits; vegetables; nuts and legumes; and low-fat dairy products, and low intake of red/processed meats; sweetened beverages; and sodium26.', '8f14390f-8489-48cb-9293-65927e83cdf2']"
"Foods to increase consumption of","vegetables","['7', 'methods3', ' For each food item, 4 possible frequencies (never, every month, every week and every day) and the amount of consumption each time in grams or millilitres were available. The daily intakes of energy (kcal/d) and key nutrients from each food were calculated according to the Chinese Food Composition Tables25.  Assessment of adherence to a dietary approaches to stop hypertension-style diet A Dietary Approaches to Stop Hypertension (DASH) score was calculated based on the food frequency questionnaire (FFQ) for each participant. According to Fung’s method26, the Dietary Approaches to Stop Hypertension (DASH) score was constructed based on the foods and nutrients emphasised or minimised in the Dietary Approaches to Stop Hypertension (DASH) diet, focusing on eight components: high intake of whole grains; fruits; vegetables; nuts and legumes; and low-fat dairy products, and low intake of red/processed meats; sweetened beverages; and sodium26.', '8f14390f-8489-48cb-9293-65927e83cdf2']"
"Foods to increase consumption of","nuts and legumes","['7', 'methods3', ' For each food item, 4 possible frequencies (never, every month, every week and every day) and the amount of consumption each time in grams or millilitres were available. The daily intakes of energy (kcal/d) and key nutrients from each food were calculated according to the Chinese Food Composition Tables25.  Assessment of adherence to a dietary approaches to stop hypertension-style diet A Dietary Approaches to Stop Hypertension (DASH) score was calculated based on the food frequency questionnaire (FFQ) for each participant. According to Fung’s method26, the Dietary Approaches to Stop Hypertension (DASH) score was constructed based on the foods and nutrients emphasised or minimised in the Dietary Approaches to Stop Hypertension (DASH) diet, focusing on eight components: high intake of whole grains; fruits; vegetables; nuts and legumes; and low-fat dairy products, and low intake of red/processed meats; sweetened beverages; and sodium26.', '8f14390f-8489-48cb-9293-65927e83cdf2']"
"Foods to increase consumption of","low-fat dairy products","['7', 'methods3', ' For each food item, 4 possible frequencies (never, every month, every week and every day) and the amount of consumption each time in grams or millilitres were available. The daily intakes of energy (kcal/d) and key nutrients from each food were calculated according to the Chinese Food Composition Tables25.  Assessment of adherence to a dietary approaches to stop hypertension-style diet A Dietary Approaches to Stop Hypertension (DASH) score was calculated based on the food frequency questionnaire (FFQ) for each participant. According to Fung’s method26, the Dietary Approaches to Stop Hypertension (DASH) score was constructed based on the foods and nutrients emphasised or minimised in the Dietary Approaches to Stop Hypertension (DASH) diet, focusing on eight components: high intake of whole grains; fruits; vegetables; nuts and legumes; and low-fat dairy products, and low intake of red/processed meats; sweetened beverages; and sodium26.', '8f14390f-8489-48cb-9293-65927e83cdf2']"
"Foods to increase consumption of","whole grains","['7', 'methods3', ' For each food item, 4 possible frequencies (never, every month, every week and every day) and the amount of consumption each time in grams or millilitres were available. The daily intakes of energy (kcal/d) and key nutrients from each food were calculated according to the Chinese Food Composition Tables25.  Assessment of adherence to a dietary approaches to stop hypertension-style diet A Dietary Approaches to Stop Hypertension (DASH) score was calculated based on the food frequency questionnaire (FFQ) for each participant. According to Fung’s method26, the Dietary Approaches to Stop Hypertension (DASH) score was constructed based on the foods and nutrients emphasised or minimised in the Dietary Approaches to Stop Hypertension (DASH) diet, focusing on eight components: high intake of whole grains; fruits; vegetables; nuts and legumes; and low-fat dairy products, and low intake of red/processed meats; sweetened beverages; and sodium26.', '8f14390f-8489-48cb-9293-65927e83cdf2']"
