"Category","Advice","Source"
"Age range","18-25 years","pre-filled"
"Gender","Any","pre-filled"
"Lose/maintain/gain weight","Gain weight","pre-filled"
"Diet name","ketogenic diet","pre-filled"
"Health Pre-Condition","Underweight","pre-filled"
"Foods to increase consumption of","eggs","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","leafy greens","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","above-ground vegetables","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","high-fat dairy","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","natural fats","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","meats","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","nuts","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","seeds","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
"Foods to increase consumption of","salmon","['24', 'background24', ' The patients will receive weekly telephone calls and/or e-mails from the study dietitian for the remainder of the intervention to review food records and discuss strategies to enhance the patients’ adherence to and enjoyment of their assigned diets. The ketogenic-diet regimen will be self-administered by the patients and their families. The specific-food requirements are as follows: Foods that should be eaten: eggs, leafy greens, above-ground vegetables, high-fat dairy, natural fats, meats, nuts, and seeds  Foods that should be forbidden: bread, pasta, rice, potatoes, sugar, honey, and fruits [7, 15]  Requirements for fat intake: natural fats should be obtained from foods rich in omega-3, such as salmon, tuna, saury, sardines, etc.', 'bc4f11f8-c275-4c64-a315-25f7dacd7935']"
