"Category","Advice","Source"
"Age range","26-35 years","pre-filled"
"Gender","Female","pre-filled"
"Lose/maintain/gain weight","Lose weight","pre-filled"
"Diet name","mediterranean diet","pre-filled"
"Health Pre-Condition","High blood pressure","pre-filled"
"Foods to avoid","Red meat","['9', 'methods9', ' The two principal goals for intervention arms were a 5–10% weight loss and an increase in the level of adherence to the Mediterranean diet, i.e., a dietary pattern characterized by high consumption of olive oil, vegetables, legumes, whole grains, fruits and nuts, moderate consumption of poultry, fish and dairy products, low consumption of red meat products and sweets, and low-to-moderate consumption of wine as the main source of alcohol accompanying main meals (Supplemental Results Table S1) [22].', 'c93d98d2-7c8c-4f19-8d58-0533bd283ec8']"
"Foods to avoid","Processed meat","['15', 'discussion0', 'We have found that prior adherence to a typical Italian Mediterranean diet, measured with the Italian Mediterranean Index, was associated with a lowered risk of weight gain (in people of normal weight at baseline) and a lowered risk of becoming overweight/obese 6–20 years later. High score on the Italian Mediterranean Index was also associated with lower gain in waist girth and lower risk of abdominal obesity. These associations were marginally influenced by specific components of the Mediterranean diet. Thus, when low red and processed meat consumption was removed as a component of the Index, the resulting diet was no longer “protective” against either overweight/obesity or abdominal obesity. Furthermore when high pasta intake, and low soft drink intake were removed, the resulting diet was no longer protective against abdominal obesity.', 'a8f29d7f-6650-4789-80a2-535aef5e6655']"
"Foods to avoid","Sweets","['9', 'methods9', ' The two principal goals for intervention arms were a 5–10% weight loss and an increase in the level of adherence to the Mediterranean diet, i.e., a dietary pattern characterized by high consumption of olive oil, vegetables, legumes, whole grains, fruits and nuts, moderate consumption of poultry, fish and dairy products, low consumption of red meat products and sweets, and low-to-moderate consumption of wine as the main source of alcohol accompanying main meals (Supplemental Results Table S1) [22].', 'c93d98d2-7c8c-4f19-8d58-0533bd283ec8']"
"Foods to avoid","Sugary drinks","['36', 'introduction36', '  Mediterranean food (pasta and rice; whole-grain bread, brown rice, legumes; fruit; green vegetables; fish, poultry; nonfat or low-fat dairy products; olive oil) had assigned a score of 0: no consumption, a score of 1 for 1 to 4 times/w, 2 for 5 to 8 times/w, 3 for 9 to 11 times/w, 4 for 12 to 14 times/w, and 5 for more than 14 times/w; for westernized food (red meat; dairy products-butter; potatoes and eggs; cakes) opposite scores were assigned (i.e., 0 when a participant reported more than 5 weekly consumption to: 5 for no weekly consumption, score 4 for 1 weekly consumption, 3 for 2 weekly consumption, 2 for 4 weekly consumption, 1 for 5 weekly consumption); wine and alcoholics (0-10 g of alcoholics from red wine for women score 5; 0-20 g of alcoholics from red wine for men score 5; each increment of 10 determines negative scores (20-30 = -1. 30-40 = -2. 40-50 = -3.', '1eb9fb6b-8134-4b1b-b16d-689bfd4ed2a8']"
"Foods to avoid","Commercial bakery goods","['11', 'introduction11', ' Specifically, they were advised to minimize the amount of oil used for cooking and dressing (≤2 tablespoons/day); not to eat more than 1 serving of red meat per week; choosing low-fat dairy products; consumption of lean fish instead of oily fish or fish/seafood canned in oil (≤1 serving/week); avoidance of nuts and seeds (≤1 serving/ week); to limit the consumption of commercial bakery goods, sweets, and pastries (≤ 1 serving/week); and to cook without the use of oil.  S4 Table provides the intake of main food groups at baseline and after 1 year of intervention. The consumption of whole grains (unrefined) instead of refined grains was recommended in both dietary intervention groups. Patients increased the intake of whole grains and reduced those refined grains after both the Mediterranean diet and the low-fat diet.', 'a38a245f-7889-4311-a938-044cccb4084e']"
