,chunk_label,chunk_text,uuid
0,introduction0," Efforts to provide individualized dietary recommendations based on genetic markers have been underway for several years. However, these efforts have largely detected alleles with small-effect sizes that are not clinically actionable [1–3]. As with studies investigating responses to other environmental factors, responses to diet are likely not due to the action of single alleles with a large effect, but rather the sum of multiple small-effect alleles, interactions among alleles, epigenetic modifications, and sex.  Recently, our group observed strong mouse strain-specific differences in response to feeding different human-relevant diets [4–6]. This initial study provided evidence for striking differences between C57BL/6J (B6) and FVB/NJ (FVB)/NJ (FVB/NJ (FVB)) mice in response to high-fat diets varying in carbohydrate content.",633c2881-acc6-469f-b0c9-dd9ff32e8380
1,introduction1," Although studies increasingly consider the role of sex as a biological variable, the role of sex in the response to diets with varied macronutrient contents has been understudied [7].  To further investigate the genetic origin of differential response to carbohydrate restriction and sensitivity to high-fat diets, we generated an intercross population (F2) between B6 and FVB/NJ (FVB). All F2s were fed either an American (35% of energy from fat, 50% from carbohydrate) or a ketogenic (84% of energy from fat, 0% from carbohydrate) diet and changes to body composition and serum cholesterol concentrations were measured. In this population, we performed genome-wide linkage analysis to elucidate the genetic architecture contributing to differential responses to the specific diets. The data obtained provide evidence for genetic loci that not only directly affect body composition response but also loci that indirectly affect response through differences in serum cholesterol concentration.",2d037d59-9d4e-40ae-a14a-91882d015417
2,introduction2," In addition, significant sex differences in the effects of the identified quantitative trait loci (quantitative trait loci (QTL)) were detected. ",6c235507-1402-483d-891f-3eb0f8c834bf
3,methods0," Animals and diets  Initially, we screened 6-week-old B6 and FVB/NJ (FVB) mice for their response to American (35% of energy from fat, 50% from carbohydrates) and ketogenic (84% of energy from fat, 0% from carbohydrates) diets after a 6-month feeding trial. These strains have previously exhibited significantly different responses to these two diets [4]. Detailed diet compositions are provided in Supplementary Table 1. B6 females were crossed with FVB/NJ (FVB) males to generate F1 mice and subsequently intercrossed to generate the F2 population. Four-week-old F1s and 3–5 week-old F2s were screened for their response to American and ketogenic diets during a 3-month feeding trial.  For the feeding trials, mice were randomly assigned to one of the two diet groups.",e0091a6b-2d9f-4375-b43c-21d25e503eb5
4,methods1," Half of the B6, FVB/NJ (FVB), F1, and F2 mice were placed on American diet (B6: 11 males, 9 females, FVB/NJ (FVB): 10 males, 10 females, F1: 6 males, 6 females, F2: 102 males, 122 females) and a half on the ketogenic diet (B6: 9 males, 10 females, FVB/NJ (FVB): 10 males, 10 females, F1: 6 females, 9 males, F2: 126 males, 119 females). Researchers were not blinded to diet assignments. All animals were maintained in accordance with Texas A&M University Institution Animal Care and Use Committee guidelines at 22 °C under a 12-h light cycle. At the end of the feeding trial, mice were euthanized by carbon dioxide asphyxiation, blood was collected, and tissues were harvested and immediately flash-frozen in liquid nitrogen.  Phenotyping  Echo magnetic resonance spectroscopy (magnetic resonance spectroscopy (MRI)) (Echomagnetic resonance spectroscopy (MRI), Houston, TX, USA) was used to measure the fat and lean mass of all individuals.",326d7cce-b79f-4781-876b-dda038117c3a
5,methods2," During the initial screen of the B6 and FVB/NJ (FVB) strains, body weight and body composition were measured at a 3-month time point of the 6-month feeding trial. In the F1 population, body weight and body composition were measured at the beginning and end of the 3-month feeding trial. The fat percentage of total body weight was calculated at the 3-month timepoint for B6, FVB/NJ (FVB), and F1 populations. Fat percentage is the percentage of total body fat mass measured by magnetic resonance spectroscopy (MRI) relative to body weight at the time of the magnetic resonance spectroscopy (MRI) measurement. In the F2 population, body weight and body composition from before and after the 3-month feeding trial allowed for changes in fat and lean mass to be calculated. Fat and lean mass gains were calculated as the difference in fat and lean mass prior to the feeding trial and after 3 months on the assigned diet.",a4b5fa30-4d6f-4d04-aaf1-3262b26cce20
6,methods3,"  In the F2 population, total cholesterol, HDL, and LDL fractions, as well as APOA2 were measured in serum obtained from blood at sacrifice at the end of the feeding trial. Total cholesterol, HDL, and LDL measurements were performed in duplicate using the EnzyChrom AF HDL and LDL/VLDL Assay kit (BioAssay Systems, Hayward, CA, USA). APOA2 measurements were performed in duplicate in a subset of the F2 population with the highest and lowest serum HDL cholesterol concentration (11 males, 27 females), using the Mouse Apolipoprotein A2 ELISA kit (ABclonal cat no. RK02605, Woburn, MA, USA).  Genotyping  The F2 population was genotyped on the Mouse Universal Genotyping Array (Mouse Universal Genotyping Array (MUGA)) that includes 7854 SNP markers [8]. Markers that were not polymorphic between B6 and FVB/NJ (FVB) were removed from the dataset and uncertain genotype calls for individuals (GenCall score quality metric <0.7) were set to missing.",7535b675-29ed-4be9-a635-8cc1dec9da7e
7,methods4," The remaining markers were used to generate a genetic map to check for problematic markers and/or sample DNAs. After all corrections, 1667 markers were used for the association analyses. Updated Mouse Universal Genotyping Array (MUGA) marker annotation was obtained from Dr. Karl Broman (https://kbroman.org/Mouse Universal Genotyping Array (MUGA)arrays/new_annotations.html).  Heritability calculations  Broad-sense heritability for body fat percentage was calculated as the ratio of total genetic variance (variance in the F2 population) to environmental variance (variance in the F1 population).  Quantitative trait loci analysis  Outliers can have a strong influence on the results of quantitative trait loci (QTL) analyses. We observed biologically implausible errors in data that were greater than three standard deviations from the mean and suspect that these reflect the technical errors in the measurements.",b217fb50-db80-4875-949a-fecb4232f6c9
8,methods5," As such, outliers were defined as individuals with phenotypes that were more than three standard deviations away from the mean for each sex and phenotype in the F2 population. Outliers were set to missing. This procedure was repeated iteratively to discover all outliers in the data. Pearson’s correlation between phenotypes was determined after correcting for sex and diet effects (Supplementary Fig. 1). Code available by request.  The combined model includes all F2s, both sexes, and both diets (y~ sex * diet + marker). quantitative trait loci (QTL) peaks with a logarithm of the odds (logarithm of the odds (LOD)) greater than thresholds determined by 10,000 permutations were considered genome-wide significant (P < 0.05, logarithm of the odds (LOD) > 3.90) or highly significant (P < 0.01, logarithm of the odds (LOD) > 4.70). A logarithm of the odds (LOD) drop of 1.",e51e3c8c-1c33-40a3-97a3-d0d40d4b6225
9,methods6,"5 logarithm of the odds (LOD) from the top marker was used to determine the 95% confidence intervals, or support intervals, for each quantitative trait loci (QTL). Linear models using ANOVA was used to check for any interactions between sex and/or diet with the top markers of each quantitative trait loci (QTL). The variance explained by the top markers at each quantitative trait loci (QTL) was calculated by dividing the sum of squares of the model including the top marker by the total sum of squares of the model without quantitative trait loci (QTL).  Candidate gene analysis using KEGG  KEGG pathways are a collection of pathway maps that reflect known genetic and metabolic relationships. All genes within each significant quantitative trait loci (QTL) confidence interval were annotated with KEGG pathway identifiers.",1112e151-aabc-42e2-9321-8b47df9609c3
