,chunk_label,chunk_text,uuid
0,background0,"The continued increase in the incidence of type 2 diabetes (T2D) has elicited the need to investigate in more depth and breadth the risk factors that contribute to this disease in order to have a more comprehensive vision of the process to illuminate the path towards more precise and effective preventive interventions [1–3]. In addition, and given the impact of T2D on cardiovascular diseases (cardiovascular diseases (CVD)) [2, 4–8] we need to gain further knowledge about the factors driving the connection between T2D and cardiovascular diseases (CVD). In this regard, there is increasing evidence linking chronodisruption with metabolic disorders [9–12].   All living things have acquired, in the course of evolution, an internal circadian timing system so as to adapt to the rhythmically occurring daily changes in their environment [13, 14].",1ffb29c3-810a-4428-a63c-98ee28cfedc1
1,background1," In humans, this circadian timing coordinates virtually all physiological processes encompassing the states of sleep and wakefulness, endocrine functions and cardiovascular activity [15, 17]. It has been shown that several aspects of the cardiovascular physiopathology and incidence of cardiovascular diseases (CVD) events, such as myocardial infarction, ischemic and hemorrhagic stroke, have diurnal variation, peaking in the early morning hours [18–23]. Moreover, a higher risk of obesity, metabolic alterations and T2D has been found in shift workers [24–27] and adverse cardiometabolic effects (including postprandial glucose in a range typical of a prediabetes state) have been detected in subjects who underwent forced circadian misalignment [28].  The endogenous circadian timing system includes the suprachiasmatic nucleus (suprachiasmatic nucleus (SNC)) in the hypothalamus, as well as peripheral oscillators in the different organs [29].",c7021144-2688-4f96-9d40-85a19ae93105
2,background2," The core molecular clock is composed of a transcription-translation feedback loop that oscillates with 24-h rhythmicity [30]. Several core clock genes are involved in the regulation of this system [14, 30]. Among them, the CLOCK (Circadian Locomotor Output Cycles Kaput) gene, a transcription factors from the positive limb of the molecular clock that forms a complex with BMAL1 (Brain and Muscle ARNT-Like 1), is one of the most relevant [14, 30, 31]. In murine models, mutations in the clock gene were first associated with glucose homeostasis [32] and later with obesity, hyperglycemia and hyperinsulinemia [33]. In humans, various CLOCK single nucleotide polymorphisms (single nucleotide polymorphism (SNP)s) (i.e. rs1464490, rs3749474, rs4864584, rs4580704 and rs18012602) have also been associated with obesity [34–36], hyperglycemia and greater prevalence of T2D in cross-sectional studies [36, 37].",529544fb-04a0-442d-b0aa-1e07067e3bf3
3,background3," However, there has been no longitudinal study to analyze the influence of CLOCK single nucleotide polymorphism (SNP)s on T2D incidence. The CLOCK-rs4580704 C > G, a tag single nucleotide polymorphism (SNP) in linkage disequilibrium with other CLOCK single nucleotide polymorphism (SNP)s, is one of the most relevant single nucleotide polymorphism (SNP)s for these associations [35, 36]. In our previous work in the Genetics of Lipid Lowering Drugs and Diet Network (Genetics of Lipid Lowering Drugs and Diet Network (GOLDN)) population, we observed that carriers of the minor allele (G) for the CLOCK-rs4580704 single nucleotide polymorphism (SNP) presented lower weight, fasting-insulin and hyperglycemia risk [36].",63f8c8e3-a600-419c-9500-5168654e9495
4,background4,"  Moreover, we detected a gene-diet interaction between the CLOCK-rs4580704 single nucleotide polymorphism (SNP) and monounsaturated fatty acids (monounsaturated (MUFA)) intake in determining fasting glucose and insulin resistance in Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) [36]. When the monounsaturated (MUFA) intake was low, no differences were found for these parameters. However, when monounsaturated (MUFA) intake was high, minor allele carriers had significantly lower levels. We also suggested that this single nucleotide polymorphism (SNP) could be relevant in modulating cardiovascular diseases (CVD) risk [36]. However, the latter connection has not been specifically investigated. Bearing in mind that there may be a greater alteration in circadian rhythms in T2D [9–11, 16], we hypothesized that the effect of variation in clock genes on cardiovascular diseases (CVD) risk might be greater in T2D subjects.",72a18260-04f1-4845-b385-98e4aff02c09
5,background5," Our aims, therefore, were as follows: (1) to analyze the association between the tag single nucleotide polymorphism (SNP) CLOCK-rs4580704 and the incidence of T2D; (2) to analyze the association between the CLOCK-rs4580704 single nucleotide polymorphism (SNP) and incidence of clinical cardiovascular diseases (CVD) events depending on T2D status and; (3) to study whether a dietary intervention with the Mediterranean diet (MedDiet), very high in monounsaturated (MUFA), within the framework of the PREvención con DIeta MEditerránea (PREDIMED) trial, modulates these associations. ",011b076c-6e45-4fae-bfcb-43c7bf1ce50c
6,methods0,"The present study was conducted within the framework of the PREvención con DIeta MEditerránea (PREvención con DIeta MEditerránea (PREDIMED)) trial, whose design has been described in detail elsewhere [38]. Briefly, the PREvención con DIeta MEditerránea (PREDIMED) study is a large, multicenter, randomized and controlled clinical trial aimed at assessing the effects of the Mediterranean diet (MedDiet) on primary cardiovascular prevention [38, 39]. This study was registered at controlled-trials.com (http://www.controlledtrials.com/ISRCTN35739639). Participants were randomized to one of three interventions: a MedDiet supplemented with extra virgin olive oil (extra virgin olive oil (EVOO)), a MedDiet supplemented with mixed nuts, or advice on a low-fat diet (control diet). Here we included 7098 participants from whom DNA was isolated, the polymorphism determined, and who had valid data for the main clinical variables analyzed.",a9ab6d77-0b03-4e5c-95c3-35605613919a
7,methods1," The completion date of this study was December 2010 and the total number of randomized subjects was 7447. The 7098 participants included in the present study did not differ in the main characteristics from those of the total cohort. Additional file 1: Figure S1 shows the CONSORT flowchart of the trial for the primary outcomes. Details of the PREvención con DIeta MEditerránea (PREDIMED) trial including sample size calculations and interim analysis have been fully described elsewhere [38, 39]. Briefly, From October 2003 physicians in Primary Care Centers selected high cardiovascular risk participants. Eligible were community-dwelling persons (55–80 years for men; 60–80 years for women) who met at least one of two criteria: T2D or 3 or more cardiovascular risk factors as previously detailed [38, 39].",cbad559e-f2c7-4db9-a57b-6a7ecbb32fd7
8,methods2," Taking into account that no significant differences in cardiovascular diseases (CVD) incidence were found between the MedDiet groups [39], data were analyzed pooling together the MedDiet intervention groups versus the control group.  A detailed description of the nutritional interventions has been provided elsewhere [39]. The Institutional Review Board/Ethics Committee of each participating center approved the study protocol. All participants provided written informed consent. Participants were followed up for a median of 4.8 years (interquartile range 2.8–5.8 years). Incidence of cardiovascular diseases (CVD) as primary outcome and incidence of T2D in non-T2D participants (as secondary study outcome) were assessed.  Demographic, clinical, anthropometric and dietary measurements The baseline examination included assessment of standard cardiovascular risk factors, medication use, socio-demographic factors and lifestyle variables by validated questionnaires [38].",7995abee-1f26-4100-ae34-dd36650c3e3f
9,methods3," Food consumption was determined by a validated semi-quantitative food frequency questionnaire (food frequency questionnaire (FFQ)) [40] and energy and nutrient intake was derived. For dietary intake obtained by food frequency questionnaire (FFQ), n = 7040 subjects were analyzed after exclusion of n = 58 subjects with invalid data. Adherence to MedDiet at baseline was assessed by a validated 14-item questionnaire [41]. Physical activity was estimated by the Minnesota Leisure-Time Physical Activity Questionnaire, as previously reported [38].  Weight and height were measured with calibrated scales and a wall-mounted stadiometer, respectively. BMI and the waist-to-height ratio were calculated. Blood pressure and heart rate were measured in triplicate using a validated semiautomatic oscillometer (Omron HEM-705CP, Hoofddorp, The Netherlands) with a 5-minute interval between each measurement with the patients seated and at rest in a peaceful setting.",5ef759ac-21c2-4591-9673-a09e86a8af0a
