,chunk_label,chunk_text,uuid
0,methods0,"2.1. Study Design and Participants We analyzed participants in the PREDIMED Plus-Valencia study [105]. The University of Valencia (located in the eastern Mediterranean coast), is one of the field centers of the multi-center PREDIMED Plus study, an ongoing primary prevention trial conducted in Spain [106]. A detailed description of the trial is available at http://predimedplus.com/. This trial was registered at https://doi.org/10.1186/ISRCTN89898870. Participants in the Valencia field center were recruited from several primary care health facilities. These participants were community-dwelling adults (men, 55–75 years; women, 60–75 years) with body-mass index (body mass index (BMI)) ranging from 27 to 40 kg/m2 and having metabolic syndrome [106]. In this recruitment center, the total number of randomized participants included in the PREDIMED Plus trial was 465.",30af3cda-166e-425e-8045-98e47cdf2704
1,methods1," In the present work, we undertake the cross-sectional analyses of an ancillary project including all the participants in our center with complete data on serum polyunsaturated fatty acids (PUFA) concentrations at baseline and genome-wide genotyping, in addition to the other variables for adjustments (n = 426). The analyzed subjects did not differ significantly from our entire sample concerning the main variables. The Institutional Review Board of the Valencia University approved the study protocol (ethical approval code H1373255532771), and all participants provided written informed consent.  2.2. Baseline Clinical, Anthropometric, Biochemical, and Lifestyle Variables In the baseline examination, we assessed socio-demographic variables, clinical and cardiovascular risk factors, and lifestyle variables by validated questionnaires as previously reported [106].",87085e3d-cbfe-4b8c-9223-e69605eb0a95
2,methods2," Anthropometric variables and blood pressure were determined by trained staff following the PREDIMED Plus operations protocol [107]. Weight and height were measured with calibrated scales and a wall-mounted stadiometer, respectively. body mass index (BMI) was calculated as the weight in kilograms divided by the height in meters squared. Waist circumference was measured midway between the lowest rib and the iliac crest, after normal exhalation, using an anthropometric tape. Blood pressure was measured with the use of a validated semiautomatic oscillometer (Omron HEM-705CP, Netherlands) while the participant was in a seated position for 5 min.  Blood samples were collected after a 12-h overnight fast. Fasting plasma glucose, total cholesterol, high-density lipoprotein cholesterol (HDL-C), low-density lipoprotein cholesterol (LDL-C), and triglyceride concentrations were measured as previously described [107].",c836270d-5bed-4e11-859d-255533c2f2b6
3,methods3," Leisure-time physical activity was assessed using the validated REGICOR questionnaire [108], including questions to collect information on the type of activity, frequency (number of days), duration, and total leisure-time physical activity-related energy expenditure was estimated. The dietary pattern was assessed by a 17-item score capturing adherence to a traditional Mediterranean diet [109]. We have published the detailed version of this questionnaire as well as its association with quality of life and cardiovascular risk factors [109]. Briefly, traditional Mediterranean diet is characterized by a high intake of vegetables, fruits, legumes, fish, as well as fat from vegetable sources, including nuts, and a low intake of red meat and desserts. In the 17-item screener, a suitable consumption of typical traditional Mediterranean foods adds one point and a low consumption of foods not characteristic of the Mediterranean diet also adds one point.",c7ef49da-3078-41e2-9b52-cce71c0dda52
4,methods4," A higher score means higher adherence to the Mediterranean diet. Supplemental Table S1 shows the 17 detailed items and the corresponding scores.  2.3. Serum Fatty Acid Determinations Serum was obtained from fasting blood samples as previously detailed [55]. Serum fatty acids were measured by proton nuclear magnetic resonance (nuclear magnetic resonance (NMR)) spectroscopy as previously reported in detail [110,111]. This high—throughput nuclear magnetic resonance (NMR) metabolomics platform (Nightingale Health Ltd., Helsinki, Finland), has been applied and validated in numerous studies [112,113]. The measurements of polyunsaturated fatty acids (PUFA) with this nuclear magnetic resonance (NMR) platform were only undertaken on participants recruited at the PREDIMED Plus-Valencia field center. Currently, there are no participants from other field centers with these data determined. In this study, we used all the available measurements of serum fatty acids provided by the platform.",4aa3fa5c-4cb3-42d8-aed3-6be10acbb24a
5,methods5," These included total fatty acids, monounsaturated fatty acids (monounsaturated fatty acids (MUFA)), saturated fatty acids (saturated fatty acids (SFA)), total polyunsaturated fatty acids (PUFA), omega-3 polyunsaturated fatty acids (PUFA), and omega-6 polyunsaturated fatty acids (PUFA). We also included LA and docosahexaenoic fatty acid (DHA) for being the two specific fatty acids that that platform reported separately. No additional polyunsaturated fatty acids (PUFA) were reported in this platform. The results for total polyunsaturated fatty acids (PUFA), omega-3, omega-6, and LA and docosahexaenoic fatty acid (DHA) are very robust and have been validated in many publications [110,111,112,113,114,115]. Although we focused our genetic analyses on polyunsaturated fatty acids (PUFA), for descriptive reasons, saturated fatty acids (SFA), monounsaturated fatty acids (MUFA), and total fatty acids were also reported.",3ed56a60-63b0-40f0-81cc-7735cd0a4568
6,methods6," Serum fatty acids were measured as follows: After measuring the lipoprotein data from native serum samples, their lipids were extracted and another nuclear magnetic resonance (NMR) spectrum measured (see reference [116] for details). In these lipid extracts, each fatty acid gives rise to a characteristic nuclear magnetic resonance (NMR) resonance, the area of which is associated with their concentration. After further scaling to account for slight experimental variation in lipid acquisitions in the extraction procedure [116], the different polyunsaturated fatty acids (PUFA) concentrations were quantified in mmol/L, representing the true concentration in serum. Finally, serum fatty acids were expressed as a percentage of total fatty acids.",4b8b97a9-264e-4659-9f4d-b1950132f80d
7,methods7," Although both measures (absolute and relative) can be used [117], we have analyzed polyunsaturated fatty acids (PUFA) and percentage because in previous works, fatty acids have been commonly used as percentage of total, and we want to compare our results with those obtained in other populations.  2.4. Genome-Wide Genotyping We isolated genomic DNA from the buffy coat samples with the MagNaPure LC DNA Isolation kit (ROCHE Diagnostics). We measured the concentration and the quality of the isolated DNA by the PicoGreen instrument (Invitrogen Corporation, Carlsbad, CA, USA). After DNA-quality control, high-density genotyping was performed in samples passing this control using the Infinium OmniExpress-24 v1.2 BeadChip genotyping array (Illumina Inc., San Diego, CA, USA) at the University of Valencia, Valencia. Genotyping was undertaken according to the manufacturer’s protocol with appropriate quality standards. The Infinium OmniExpress v1.2 BeadChip captures 713,599 markers.",7beb4f3a-3561-4ab3-a03d-9caa068eb751
8,methods8," Allele detection and genotype calling were performed in the Genome Studio genotyping module (Illumina, Inc., San Diego, CA, USA). Data cleaning was performed using standard analysis pipelines implemented in the Python programing language using the Numpy library modules combined with PLINK [118,119]. From the initial full set of SNPs in the array, those not mapped on autosomal chromosomes were filtered out. In addition, SNPs with a minor allele frequency (minor allele frequency (MAF)) <0.01 or those that deviated from expected Hardy–Weinberg equilibrium (p < 1.0 × 10−4) were removed. A total of 621,723 SNPs that passed the quality filter remained for further analysis.  2.5. Statistical Analysis Student t-tests and ANOVA tests were applied to compare crude means of continuous variables. Triglyceride and fatty acid concentrations (in mmol/L) were log-transformed for the statistical analyses.",5526bf94-923a-4e86-83d7-f6a8f4374cf7
9,methods9," Fatty acids, expressed as % (total fatty acid of interest to total fatty acids), reached a normal distribution, and were not log transformed. Chi-square tests were used to compare proportions. Finally, we analyzed the omega-6/omega-3 ratio and we log transformed this variable to achieve normality for statistical testing. We analyzed the associations using both crude models and adjusted multivariate regression models (general lineal models) including potential confounders.  For the genome wide association studies (GWAS), at the genome-wide level, we tested the association between all the SNPs in the array (excluding those indicated above according to the quality control issues) and serum concentrations (expressed as %) of the different polyunsaturated fatty acids (PUFA). We fitted separate models for omega-3 polyunsaturated fatty acids (PUFA), docosahexaenoic fatty acid (DHA), omega-6 polyunsaturated fatty acids (PUFA), LA, and total polyunsaturated fatty acids (PUFA).",dc288aee-416c-4002-82ef-785c772a4784
