,chunk_label,chunk_text,uuid
0,methods0,"Study participants and design The European Prospective Investigation into Cancer (EPIC)-Norfolk Study recruited 25 639 men and women, aged 40–79 years at baseline (1993–7), who were resident in and around Norwich, England. The present study has been described in detail previously(  24  ), and it was conducted according to the guidelines laid down in the Declaration of Helsinki, and all procedures involving human participants were approved by the Norfolk District Health Authority Ethics Committee. Written informed consent was obtained from all participants. Since the baseline health-check visit, there were three follow-up assessments including two postal questionnaires and a repeat health-check visit, but this cross-sectional analysis is based on the baseline visit.",8e2969ff-bce7-4960-8211-46232045518d
1,methods1," Health and lifestyle information was collected using a baseline questionnaire, which asked about the participants' personal and family health, demography, lifestyle (including diet and physical activity) and social status (education and occupation). A standardised health check was performed by trained nurses, including measurement of height (cm), weight (kg) and waist circumference (WC; cm) as described previously(  24  ). Non-fasting blood samples were collected. A detailed description of the storage method has been described previously(  25  ). Concentrations of serum lipids, total cholesterol (TC), HDL-cholesterol (HDL-C) and TAG concentrations were measured on an RA-1000 (Bayer Diagnostics). LDL-cholesterol (LDL-C) was calculated using the Friedewald formula(  26  ); when serum TAG concentration exceeded 4·0 mmol/l, LDL-C concentration was not calculated. Concentrations of serum apoA-1 and apoB were measured using an Olympus AU640 Analyser (Olympus UK Limited).",aec2d8c8-ba87-46a2-9b2d-6b826a2fa6cb
2,methods2," Measurement of glycated Hb (HbA1c) was added halfway through the baseline visit in 1995, and was available in approximately half of the cohort (n 10 780, with n 10 746 with HbA1c levels < 6·5 %). The level of HbA1c was measured with HPLC on a Bio-Rad Diamat (Bio-Rad).  We excluded the participants with missing baseline FFQ data or with ten missing FFQ lines as well as those with unavailable information on lipid measures. Thus, 20 986 participants from the baseline visit were eligible for inclusion in the present analysis.  Dietary assessment and Mediterranean Diet Score Participants completed a validated 130-item semi-quantitative FFQ about their habitual diet in the past year(  27  ). For all food items, respondents were asked to report the frequency of consumption on a 9-point scale for a ‘medium serving’ from ‘never or once per month’ to ‘more than six times per day’.",87172f8e-d10e-4434-9fda-d68a03d7e7dd
3,methods3," Amounts of energy and individual nutrient intake were calculated from the frequency and amount (medium serving size) of each food reported in the FFQ and converted into g/d by using in-house software, the Compositional Analyses from Frequency Estimates (Compositional Analyses from Frequency Estimates (CAFE)) program(  28  ). The European Prospective Investigation into Cancer (EPIC) FFQ was validated against 16 d weighed food records (n 127)(  29  ).  Adherence to the MD was assessed by using the relative Mediterranean Diet Score (rMED)(  30  ,  31  ), which is a variation of the original MD Score(  1  ). This variation consists mainly in the score criterion and in the olive oil component.",53ed560e-3a90-4413-930e-ed621cb61b25
4,methods4," Similarly to the MD Score, the rMED included nine nutritional components that are characteristic of the MD and included some presumed ‘beneficial’ components (vegetables, legumes, fruit and nuts, cereals, fish and seafood, olive oil (including olive oil consumption instead of the ratio of monounsaturated fat:saturated fat as in the original MD) and moderate alcohol consumption) and other presumed ‘detrimental’ components (meat and meat products and dairy products), as described previously(  2  ,  30  ,  31  ). While the original MD Score criteria assigned 1 point for intakes above the median among the study participants and 0 point for intakes below the median, with reversed scoring for meat and dairy intakes (score range 0–9), in the rMED, each component (apart from alcohol consumption) was calculated as a function of energy density (as g/4184 kJ (1000 kcal)), and was then divided into tertiles of intakes.",465ea380-8a79-49ff-97de-87e97ad2821f
5,methods5," We assigned a value of 0, 1 or 2 to the first, second and third tertiles, respectively, of the intakes of vegetables, legumes, fruit and nuts, cereals, and fish and seafood and positively scoring higher intakes for the beneficial components. The scoring was reversed for the two presumed detrimental components (meat and meat products and dairy products) by assigning a higher score for lower intakes. The scoring for olive oil was modified for the rMED(  31  ) because of the relatively large number of non-consumers. Therefore, 0 was assigned to non-consumers, 1 was assigned to participants with an intake below the median olive oil consumption (calculated only within olive oil consumers) and 2 was assigned to participants whose intake was equal to or above this median. For alcohol, a value of 2 was given to men with moderate alcohol consumption (intakes from 10 to 50 g/d), and a value of 0 was assigned otherwise, whereas for women, the corresponding cut-off points were 5 and 25 g/d.",7f242417-fecb-41f0-a27e-41ded09abab0
6,methods6," Therefore, the rMED ranged from 0 (indicating the lowest adherence to the MD) to 18 (indicating the highest adherence to the MD), which is different from the original MD Score that ranged between 0 and 9. Finally, the rMED was further classified into categories to reflect low (0–6 points), medium (7–10 points) or high (11–18 points) adherence to the MD on the basis of previously published cut-off points(  30  ).  Determination of genotypes DNA for genotyping was extracted from EDTA whole-blood aliquots collected at the first and second health checks using phenol–chloroform extraction. The call rate was 99·5 %. There were 19 800 participants with available data on genotype (rs780094). We also included data on rs1260326 SNP (in high linkage disequilibrium with the rs780094 SNP; r 2 0·94) in a subset (n 7273), to replicate findings. Genotype distributions did not deviate from Hardy–Weinberg expectations (P= 0·14, rs780094 and P= 0·80, rs1260326). ",76a03162-23d7-4424-a422-d50ed4841403
7,analysis0,"Continuous variables were assessed for normality of distribution, and skewed variables were normalised by log10 transformation. Data are presented as means and standard deviations or geometric means and 95 % CI for continuous variables, and frequencies and percentages for categorical variables. Baseline characteristics were described by rMED categories (low, medium and high). Differences in means among the groups were compared by using a one-factor ANOVA test, and comparisons of frequencies were conducted using the χ2 test. We fitted multiple linear regression models for the association between the rMED categories and continuous metabolic traits (TAG, TC, LDL-C, HDL-C, apoA-1, apoB and HbA1c) in the following way: model 1 adjusted for sex, age (in years, continuous).",7ccfc32c-04ec-45fb-8a7d-5eddc6325a6a
8,analysis1," Model 2 additionally adjusted for potential confounders including physical activity (self-reported) that was derived into a four-scale index by combining levels of occupational and recreational physical activity(  32  ) (inactive, moderately inactive, moderately active and active), smoking status (current smoker, former smoker and never smoker), total energy intake (EI, in kJ, continuous), lipid-lowering medication, social class (professional, managerial and technical, skilled non-manual, partly skilled and unskilled), and educational level (low education, O-level or equivalent to secondary school, A-level or equivalent including technical school, university degree or equivalent, including a higher vocational qualification). Model 3 additionally adjusted for BMI (continuous) and WC (continuous). We also examined the effects of per two-point increase in the rMED (as a continuous variable).",ac24040e-b3af-486b-abe0-b156f12e7962
9,analysis2," The association between adherence to the MD and hypertriacylglycerolaemia status (defined according to the cut-off points ( ≥ 1·7 mmol TAG) was determined using multivariable-adjusted logistic regression models. We performed sensitivity analyses by excluding participants with chronic prevalent disease (heart disease, stroke, diabetes mellitus and/or cancer) and excluding misreporters of energy. Misreporting of EI was estimated by using the ratio of reported EI:predicted BMR (EI:BMR). Participants were classified as under-reporters (EI:BMR < 1·14), plausible reporters (EI:BMR = 1·14–2·1) or over-reporters (EI:BMR>2·1) of EI by using cut-off points proposed by Goldberg(  33  ).  Among the 19 800 individuals with available data, we analysed the rs780094 SNP using a co-dominant mode of inheritance as in previous studies(  19  ,  23  ,  34  ).",8bf37903-7b1d-4ed2-a464-6a1aacf8d396
