,chunk_label,chunk_text,uuid
0,methods0," 2.1. Myths-Nutrition Literacy Questionnaire (Myths-NL): Items Generation  As the first step to develop the Myths-Nutrition Literacy questionnaire (Myths-NL), the authors and an external collaborator (E.F.) created a list of the 24 most repeated myths in the reviewed mass media sources of information about food, nutrition, and health (mainly Spanish bestseller magazines intended for adults, websites, and internet documents). Subsequently, 19 myths were chosen as the most influential ones on the elderly’s health, referring to nutritional value of food, intake frequency of food groups, hygienic matters, and culinary preparation. Five myths considered irrelevant for seniors were discarded (e.g., protein supplements to gain muscle). In an attempt to create a short, easy, and user-friendly instrument, the questions were formulated as true–false statements, and the items were formulated using the respondents’ usual language.",4b948cb4-4e51-4955-af85-87f36dfbf281
1,methods1,"  A group of experts composed of eight university lecturers from different areas and four health professionals reviewed the 19 items for content validity by commenting on both the statements and the questionnaire format. Based on their suggestions, that version was modified leading to a preliminary Myths-NL including 14 statements. Besides, to ensure face validity, the 14-item pool was piloted with seven elders (62–83 years old) to assess its readability and correct interpretation. The time of administration was also measured, and no more than 7 min were taken for its completion in any case. Only a vision problem was detected and, consequently, font size was increased.  2.2. Study Setting  The present study was conducted in Huesca (Aragón, Spain), a city with an elderly population of 10,243 inhabitants (19.7%).",202dd040-8d75-47e8-9eae-89cfeeeac2be
2,methods2," The convenience sample consisted of people fulfilling inclusion criteria: (1) aged 65 and over, (2) who were participating in municipal exercise activities for seniors, and (3) gave informed consent to participate voluntarily.  Two students of the Human Nutrition and Dietetics University Degree provided the anonymous questionnaire during one of the exercise sessions and, if necessary, assisted participants while they were answering. This questionnaire consisted of three parts:Part 1 included information about sociodemographic data (gender, age, education, and household type), self-reported level of physical activity, self-perceived health status, and the opinion about the importance of proper feeding and its impact on health. Additionally, participants were asked about which sources of food and nutrition information they consulted. They could choose between three possibilities and select as many options as they wanted: mass media, family and friends, and health professionals.",58616afb-1bb2-4283-a167-d187a0950cdf
3,methods3,"  Part 2 consisted of the previously cited preliminary Myths-NL. For each myth, participants had to decide if the statement was “true”, “false”, or “don’t know.” Based on the methodology described by some authors [21], correct answers scored one point, and incorrect, blank, or “don’t know” answers were scored as zero. Then, the total score was calculated, adding all item points.  Part 3 incorporated the validated Mediterranean Diet Adherence Screener (Mediterranean Diet Adherence Screener (MEDAS)) developed within the PREDIMED study to assess the adherence to the Mediterranean Diet pattern. This questionnaire included 14 yes/no questions scored as 0 or 1. The final score ranged from 0 to 14. A total score of 9 or more points was indicative of adequate Mediterranean diet adherence [27].  2.3.",38781e57-1b0e-460a-9f38-02cb7064b8a4
4,methods4," Myths-Nutrition Literacy Questionnaire (Myths-NL): Internal Consistency, Reliability, and Validity  Firstly, as it is highly recommended [28], data was analyzed for item difficulty and item discrimination. Afterward, an evaluation of internal consistency of the Myths-NL final version was conducted.  To evaluate the test–retest reliability, one group of 15 participants answered the Myths-NL twice, with approximately a month difference between the first and the second administration.  Because of the lack of standards for measuring the aforementioned NL, construct validity was proved by establishing both discriminant and convergent validity [29]. To demonstrate discriminant validity, we assessed the Myths-NL’s capacity to distinguish populations assumed to have higher and lower levels of NL. Performance between groups with different education levels was compared, as respondents with primary studies were expected to have less critical capacity than those with secondary/superior studies.",c1bb3824-f95f-41dc-a464-89071fa01854
5,methods5," To assess convergent validity, we hypothesized that the Myths-NL score would be directly associated with dietary behavior, in terms of the adherence degree to the Mediterranean Diet pattern. For this latter analysis, participants living in nursing homes or hostels were excluded.  2.4. Statistical Analysis  Absolute frequencies and percentages, for categorical variables, and mean and standard deviation, for quantitative variables, were used in order to describe the characteristics of the sample. In an attempt to detect possible differences between the youngest-old and oldest-old, chi-squared and Fisher’s exact tests were calculated.  As far as questionnaire validation, frequencies of correct answers and Spearman item-to-total score correlations for each item were assessed to evaluate item difficulty (items that were answered correctly by less than 20% or by over 80%, i.e., too difficult or too easy) and item discrimination (item-to-total score correlation below ≈ 0.2, i.e.",85869bff-648b-4f45-a13c-12edbee1efb9
6,methods6,", items with poor capability of discriminating between high- and low-scoring individuals), respectively. Internal consistency was assessed by Cronbach α; a value above 0.7 was considered adequate. Spearman and the intraclass correlation coefficients were used to compare the answers obtained in the study of repeatability, and values between 0.7–0.9 were considered as large correlations. To demonstrate discriminant validity, the score of the two groups of education level was compared by two-tailed t-test for independent samples and, also, multiple linear regression analysis was performed considering the sociodemographic variables significantly related to the Myths-NL score in the univariate analyses (i.e., age, education level, self-reported level of physical activity, and mass media as a source of information).",01835189-cc4d-4434-a109-01b82471519b
7,methods7," Linear regression models were also performed to test the independent effect of Myths-NL score on Mediterranean Diet Adherence Screener (MEDAS) score, considering significantly correlated sociodemographic variables in the univariate analyses (i.e., gender, age, and household type).  Besides this, Spearman correlations between Myths-NL score and each Mediterranean Diet Adherence Screener (MEDAS) item were calculated.  All the analyses were performed using SPSS Statistics for Windows, Version 26.0 (IBM Corp., Armonk, NY, USA). Statistical significance was defined as p < 0.05.  3. Results  A total of 363 people attended the municipal sessions, from which 316 (87%) fulfilled the inclusion criteria and accepted taking part in the study. As shown in Table 1, participants were a community-dwelling group aged 74 (SD 6) years old, predominantly women, who reported an adequate level of physical activity. More than two-thirds had primary studies and good or excellent self-perceived health status.",ba6f0747-233a-4c16-91aa-e299edcab1e2
8,methods8," The great majority considered the usual diet as quite or very important to stay healthy. Compared with the youngest-old group (65–80 years old), the oldest-old had primary studies and lived alone or in a nursing home and had worse self-rated health more frequently. Regarding the sources of food and nutrition information, the most frequently marked option was health professionals (61%), followed by family and friends (45%) and mass media (35%). However, while the above was still true among the youngest-old group, family and friends became the most frequent source, followed by health professionals, among the oldest-old group.  Table 2 shows the 14 items included in the preliminary questionnaire, the frequency of correct answers, and the correspondent discrimination index. After applying the criteria for item difficulty and item discrimination, the final Myths-NL included 10 items and the total score had the Cronbach’s α of 0.61.",58091920-8e8c-4f19-b34c-c62118e1ddf3
9,methods9," As far as test–retest reliability, results for the overall score of the two attempts showed a value of Spearman’s correlation of 0.79 (p = 0.02) and the correspondent intraclass correlation coefficient of 0.66 (p = 0.02).  The Myths-NL score for the whole group showed a mean value of 5.8 (SD 2.0), with a range between 0 to 10. Statistically significant differences in the values obtained by youngest-old, 6.0 (SD 2.0), and oldest-old, 5.3 (SD 1.9), were found (p = 0.004).  Referring to discriminant validity, participants with a basic level of studies scored lower at the Myths-NL, 5.4 (SD 2.0), than those with secondary/university level, 6.9 (SD 1.9) (p < 0.001). Results of the multiple linear regression analyses showed that the level of education remained as a significant predictor of the Myths-NL score (β = 0.350; p < 0.001), as well as being oldest-old (β = −0.139; p < 0.001), physically active (β = 0.156; p = 0.",34689311-f773-4f7e-a8f3-598f68c4a24a
10,methods10,"004), and using mass media as one of the sources of nutrition information (β = 0.139; p = 0.01). The overall model fit was R2 = 0.197; p < 0.001.  As reported in Table 3, a significant linear relationship (R2 = 0.044, p = 0.001) between Mediterranean Diet Adherence Screener (MEDAS) and Myths-NL scores with a positive slope was observed (β = 0.209) as evidence of convergent validity. As indicated in Section 2.3, for this analysis, 21 participants who lived in residences or hostels were excluded. Those for whom the result of the Mediterranean Diet Adherence Screener (MEDAS) questionnaire was not available were considered missing data. No statistically significant differences were detected between the participants who were not included and those who formed the subsample (n = 244), except in the variable “living arrangement”. In this subsample, the Mediterranean Diet Adherence Screener (MEDAS) score showed a mean value of 9.1 (SD 2.",bc9d3fbd-fed7-4b2f-a251-53000e8640b5
11,methods11,"0), which meant good adherence to the Mediterranean diet pattern.  According to the multiple linear regression analysis, higher estimated NL, living at home with others, being female, and being youngest-old were associated with higher adherence to the Mediterranean Diet pattern. It should be noted that the Myths-NL score showed the strongest independent association with the Mediterranean Diet Adherence Screener (MEDAS) score. Although in univariate analysis more variables were significantly related to Mediterranean Diet Adherence Screener (MEDAS) score, they did not remain significant in tested models. Thus, they were excluded from the final model (i.e., self-reported level of physical activity and mass media as a nutrition information source). The best-fitted model accounted for 13.6% of the variance in Mediterranean Diet Adherence Screener (MEDAS) score (p < 0.001).",d2e2c63a-c431-443a-a70f-193d23c0d2c6
12,methods12,"  Finally, the level of NL, measured as Myths-NL score, was significantly correlated with certain items of Mediterranean Diet Adherence Screener (MEDAS) (Table 4). Specifically, items related to vegetables and nuts, red meat or sausages, animal fat, sugar-sweetened beverages, and commercial pastries correlated positively with the Myths-NL score. On the other hand, it correlated negatively with the item related to legumes consumption.  4. Discussion  To the best of the authors’ knowledge, this is the first study that develops a short questionnaire based on widespread nutrition myths for estimating NL in seniors. It has shown to be a valid and reliable tool in a community-dwelling elderly population living in Huesca, a northeastern Spanish city. Myths-NL score was directly associated with diet quality (Mediterranean Diet Adherence Screener (MEDAS) score).",c241c5d9-2e0d-499f-b400-89ec55d2698f
13,methods13," Additionally, multivariate linear regression analysis confirmed that Myths-NL score, along with age, gender, and living arrangement, contributed to predict Mediterranean Diet Adherence Screener (MEDAS) score.  The Myths-NL was systematically designed and validated following the different steps proposed by Parmenter and Wardle [28]. Special attention was given to devising a short tool adapted to seniors. Firstly, little time was required to assess NL with this tool, avoiding this practical barrier [30]. Secondly, considering that the terminology may be a source of misunderstanding when communicating about health and food [31], common language was used along with the questionnaire. Finally, true/false queries led to a nonintimidating questionnaire that facilitated answering without pressure and allowed an objective measurement of the skills needed to understand and use nutrition information.",911d5a29-04be-4ca2-9e3e-17c7f81995ed
